source,type,target,confidence,evidence
IITA,collaborates_with,national yam breeding programs,extracted,"In collaboration with national yam breeding programs in Nigeria, Cote d'Ivoire, Ghana and Benin"
yam breeding,uses,marker-assisted selection,extracted,deploying marker assisted selection
CIMMYT,collaborates_with,ICARDA,extracted,"CIMMYT's Global Wheat Program, working with ICARDA"
wheat varieties,targets,smallholder farmer,extracted,registered for smallholder farmers globally
wheat breeding,uses,speed breeding,extracted,Using advanced molecular breeding tools and speed breeding techniques
biofortification,produces,zinc-enriched varieties,extracted,contain higher levels of zinc and iron
drought tolerance,addresses,climate change,inferred,help farmers adapt to climate change
maize breeding,uses,genomic selection,extracted,genomic selection techniques
participatory breeding,uses,farmer feedback,extracted,Large-scale testing incorporated farmer preferences
doubled haploids,part_of,advanced breeding techniques,extracted,advanced breeding techniques including doubled haploids
fall armyworm,targets,maize,extracted,resistance to Fall Army Worm
striga,targets,maize,extracted,resistance to Striga weed
common bean,provides,nutrition,extracted,provide essential nutrition and income
biofortification,addresses,malnutrition,extracted,biofortification with zinc and iron
rice breeding,located_in,Latin America,extracted,Latin American Fund for Irrigated Rice
AfricaRice,uses,indigenous germplasm,extracted,combines Africa's rich indigenous rice genetic resources
IRRI,addresses,greenhouse gas emissions,extracted,lower greenhouse gas emissions
sweetpotato breeding,targets,women farmers,extracted,generating new income opportunities for women farmers
CIP,collaborates_with,HZPC Holland B.V.,extracted,CIP and HZPC Holland B.V. established a public–private partnership
potato breeding,addresses,late blight,extracted,biotic stresses such as late blight
cassava,targets,cassava mosaic virus,extracted,cassava mosaic and brown streak viruses
banana breeding,addresses,fusarium wilt,extracted,resist major diseases like Fusarium wilt
water-energy-food nexus,uses,computable general equilibrium modeling,extracted,IFPRI Computable General Equilibrium (CGE) model
circular bioeconomy,located_in,Ghana,extracted,Circular Bioeconomy Innovation Hub in Ghana
breeding scheme manager,uses,target product profile,extracted,alignment with defined breeding targets
mechanized agriculture,addresses,rice straw management,extracted,mechanized rice straw collection and management
variety registration,produces,improved varieties,inferred,partners registered varieties
multi-environment testing,part_of,breeding pipeline,inferred,testing across multiple locations
climate resilience,addresses,food security,inferred,climate-resilient varieties for food security
public-private partnership,accelerates,variety development,inferred,collaborative breeding networks
CS-MAP,uses,participatory risk mapping,extracted,participatory approach involving experts from various local and national offices
CS-MAP,targets,rice,extracted,"for rice production in Bangladesh, Cambodia and Vietnam"
VPCT,uses,video-based product concept testing,extracted,video-based product concept testing tool (VPCT) is an innovative market-intelligence methodology
VPCT,targets,smallholder farmers,extracted,making them accessible to smallholder farmers regardless of literacy level
maize,located_in,Kenya,extracted,applied to next-generation maize seed concepts with thousands of farmers in Kenya and Uganda
sorghum,located_in,Tanzania,extracted,"deployed with 1,100 sorghum farmers in Tanzania's Dodoma and Shinyanga regions"
market intelligence,uses,seed product market segmentation,inferred,database containing over 650 seed product market segments
CGIAR,produces,scaling hubs,extracted,CGIAR developed a global network of interconnected regional scaling hubs
scaling hubs,located_in,Kenya,extracted,operational hubs in Kenya and Nepal
rapid-cycle genomic selection,produces,genetic gain assessment,inferred,Fifty-eight percent of programs use rapid-cycle genomic selection
plant breeders,uses,on-farm verification,extracted,95% of breeding programs conducted on-farm verification
Breeding Portal,uses,genetic gain assessment,extracted,uses a Bioflow module integrated with the Breeding Portal
CIMMYT,produces,Breeding Portal,extracted,developed by multiple CGIAR centers led by CIMMYT
target product profiles,uses,partnership assessment framework,inferred,Product Design Teams as a collaborative approach where national partners lead meetings to define market segments and create Target Product Profiles
community-led water governance,located_in,Bangladesh,extracted,in the coastal polder zones of Bangladesh
decision-support systems,addresses,livestock productivity,inferred,"help researchers, development actors, donors and governments assess trade-offs"
sheep,located_in,Ethiopia,extracted,sheep fattening by women and youth organized in groups and cooperatives in Ethiopia
community-based breeding programs,targets,sheep,extracted,genetic improvement strategy for sheep and goat
community-based breeding programs,targets,goats,extracted,genetic improvement strategy for sheep and goat
artificial insemination protocols,targets,cattle,extracted,beef-cattle artificial inseminators
East Coast Fever,targets,cattle,extracted,"Thelieria parva, the causative agent of ECF, is a killer parasite infecting cattle"
FARRMS,uses,rapid response modeling,extracted,Foresight and Rapid Response Modeling System (FARRMS) is an on-demand modeling tool
IRRI,produces,market intelligence,extracted,Editorial Team led by Dr. Melanie Connor (IRRI) as Editor-in-Chief
CG Labs,uses,high-performance computing,extracted,high-performance compute-and-store solution
CG Labs,targets,data scientists,extracted,used by data scientists across Programs and projects
PeskAAS,uses,micronutrient contribution modeling,extracted,integrated with a near real-time fisheries monitoring system
PeskAAS,located_in,Timor-Leste,extracted,operational and fully integrated into Timor-Leste's Peskas digital platform
data gap analysis,uses,FishBase,extracted,assess data coverage within the FishBase database
WorldFish,collaborates_with,FAO,extracted,"coordinated by an international consortium including WorldFish, FAO"
FishBase,collaborates_with,University of British Columbia,extracted,consortium including University of British Columbia
community-based resource management,located_in,Solomon Islands,extracted,CBRM Training Package for coastal fisheries in the Solomon Islands
mechanized direct seeding,targets,rice,extracted,Mechanized direct seeded rice (DSR)
inclusive business models,targets,fish farmers,extracted,ensuring small-scale fish farmers have access
better management practices,targets,GIFT,extracted,BMPs for farming genetically improved farmed tilapia (GIFT)
better management practices,located_in,Nigeria,extracted,tilapia farming in Nigeria
varietal turnover acceleration,uses,market intelligence,extracted,how market intelligence influences breeding investment decisions
evolutionary plant breeding,targets,barley,extracted,tested evolutionary populations for four crops: Barley
evolutionary plant breeding,targets,wheat,extracted,tested evolutionary populations for wheat
evolutionary plant breeding,located_in,Ethiopia,extracted,tested evolutionary populations in Ethiopia
CSISA-MEA,collaborates_with,ABLE firms,extracted,CSISA-MEA collaborated with partners to develop ABLE firms
ABLE firms,located_in,Bangladesh,extracted,647 ABLEs in Bangladesh
public-private partnerships,uses,inclusive business models,extracted,"Partnering with the private sector, an accelerator grant program"
climate-smart aquaculture,targets,smallholder farmers,extracted,scale CSA adoption among smallholder farmers
digital data collection,targets,smallholder farmers,inferred,understand small-scale aquaculture systems
Gender and Plant Health Global Research Network,uses,interdisciplinary research,extracted,interdisciplinary research through supervision and technical support
social behavior change communication,targets,smallholder farmers,extracted,targeting women and men livestock keepers
ILRI,produces,pig weigh band,extracted,pig weigh-band was developed
pig weigh band,targets,smallholder farmers,extracted,for use by pig farmers and aggregators
Pig Profit app,addresses,business model development,inferred,"farmers can input revenues and costs, app calculates profit or loss"
feed processing,uses,rice,extracted,rice straw is shredded using a shredding machine
Brachiaria,targets,buffalo,extracted,improved diets for dairy buffalo leading to improved productivity
fertility management,targets,buffalo,extracted,buffalo fertility management package
CGIAR Gender Equality Initiative,produces,gender norms measurement,extracted,"developed this Guide, which contains step-by-step guidelines"
multistakeholder platforms,addresses,value chain development,extracted,mechanism to harness collective action
thermotolerant vaccines,targets,Peste des Petits Ruminants,extracted,thermotolerant Peste des Petits Ruminants vaccine
ILRI,collaborates_with,Hester Biosciences Ltd,extracted,ILRI has partnered with Hester Biosciences Ltd
capacity building,targets,veterinarians,extracted,animal healthcare workers were identified and trained
model farms,uses,herd health management,extracted,showcase integrated technology innovations (herd health package)
PigSmart platform,uses,digital extension,extracted,delivers digital extension messages to pig farmers
village livestock promoters,targets,smallholder farmers,extracted,critical linkage role between smallholder farmers and inputs/service providers
social behavior change communication,located_in,Son La province,extracted,livestock farmers in Son La province
school feeding programs,uses,chickens,extracted,integrating poultry product consumption (eggs) in school feeding programs
breed evaluation,targets,chickens,extracted,"Growth, egg production performance and economic feasibility will be evaluated"
